TIME  ns, IN1, IN2
-240.234, -1.615988, -0.614002
-241.211, -1.578313, -0.662702
-242.188, -1.540638, -0.711401
-243.164, -1.502963, -0.760101
-244.141, -1.459818, -0.789636
-245.117, -1.384144, -0.705224
-246.094, -1.30847, -0.620811
-247.07, -1.232797, -0.536399
-248.047, -1.157123, -0.451986
-249.023, -1.08145, -0.367574
-250, -1.005776, -0.283161
-250.977, -0.930102, -0.198749
-251.953, -0.854429, -0.114336
-252.93, -0.868526, -0.144279
-253.906, -0.887153, -0.179992
-254.883, -0.90578, -0.215705
-255.859, -0.924407, -0.251418
-256.836, -0.943034, -0.287131
-257.813, -0.961661, -0.322844
-258.789, -0.980287, -0.358557
-259.766, -0.998914, -0.39427
-260.742, -0.990756, -0.370767
-261.719, -0.974137, -0.328561
-262.695, -0.957519, -0.286355
-263.672, -0.940901, -0.244148
-264.648, -0.924282, -0.201942
-265.625, -0.907664, -0.159736
-266.602, -0.891046, -0.11753
-267.578, -0.874427, -0.075323
-268.555, -0.861341, -0.053401
-269.531, -0.850943, -0.046908
-270.508, -0.840544, -0.040414
-271.484, -0.830145, -0.033921
-272.461, -0.819747, -0.027428
-273.438, -0.809348, -0.020935
-274.414, -0.798949, -0.014441
-275.391, -0.788551, -0.007948
-276.367, -0.7654, -0.003896
-277.344, -0.721085, -0.003896
-278.32, -0.676769, -0.003896
-279.297, -0.632453, -0.003896
-280.273, -0.588138, -0.003896
-281.25, -0.543822, -0.003896
-282.227, -0.499506, -0.003896
-283.203, -0.45519, -0.003896
-284.18, -0.413193, -0.003896
-285.156, -0.381479, -0.003896
-286.133, -0.349764, -0.003896
-287.109, -0.31805, -0.003896
-288.086, -0.286336, -0.003896
-289.063, -0.254622, -0.003896
-290.039, -0.222908, -0.003896
-291.016, -0.191193, -0.003896
-291.992, -0.159479, -0.003896
-292.969, -0.019472, 0.037971
-293.945, 0.121412, 0.080178
-294.922, 0.262295, 0.122384
-295.898, 0.403179, 0.16459
-296.875, 0.544063, 0.206796
-297.852, 0.684947, 0.249003
-298.828, 0.825831, 0.291209
-299.805, 0.966714, 0.333415
-300.781, 1.034752, 0.349649
-301.758, 1.084575, 0.359389
-302.734, 1.134398, 0.369129
-303.711, 1.184221, 0.378869
-304.688, 1.234044, 0.388609
-305.664, 1.283866, 0.398349
-306.641, 1.333689, 0.408089
-307.617, 1.383512, 0.417829
-308.594, 1.438652, 0.421647
-309.57, 1.497222, 0.421647
-310.547, 1.555791, 0.421647
-311.523, 1.61436, 0.421647
-312.5, 1.67293, 0.421647
-313.477, 1.731499, 0.421647
-314.453, 1.790068, 0.421647
-315.43, 1.848638, 0.421647
-316.406, 1.868183, 0.440554
-317.383, 1.832938, 0.486007
-318.359, 1.797693, 0.53146
-319.336, 1.762447, 0.576913
-320.312, 1.727202, 0.622365
-321.289, 1.691957, 0.667818
-322.266, 1.656712, 0.713271
-323.242, 1.621466, 0.758724
-324.219, 1.57655, 0.775092
-325.195, 1.498123, 0.690679
-326.172, 1.419696, 0.606266
-327.148, 1.341268, 0.521854
-328.125, 1.262841, 0.437442
