TIME ms,IN-Nor
78.613,0.232826447
78.125,-0.059087553
77.637,0.285901447
77.148,-0.191775553
76.66,0.073600447
76.172,-0.351001553
75.684,-0.085625553
75.195,-0.324463553
74.707,-0.244850553
74.219,0.153213447
73.73,-0.324463553
73.242,-0.059087553
72.754,-0.404076553
72.266,-0.165237553
71.777,-0.032549553
71.289,-0.297926553
70.801,0.206288447
70.312,-0.297926553
69.824,-0.059087553
69.336,-0.112162553
68.848,-0.404076553
68.359,0.047062447
67.871,-0.377538553
67.383,0.312438447
66.895,-0.191775553
66.406,0.285901447
65.918,0.100137447
65.43,0.392051447
64.941,0.206288447
64.453,-0.191775553
63.965,0.232826447
63.477,-0.059087553
62.988,0.365514447
62.5,-0.138700553
62.012,0.338976447
61.523,0.232826447
61.035,0.206288447
60.547,0.179750447
60.059,-0.059087553
59.57,0.445126447
59.082,-0.006012553
58.594,0.285901447
58.105,0.392051447
57.617,-0.085625553
57.129,0.285901447
56.641,-0.085625553
56.152,0.232826447
55.664,-0.191775553
55.176,0.126675447
54.687,0.338976447
54.199,-0.297926553
53.711,0.285901447
53.223,-0.138700553
52.734,-0.006012553
52.246,-0.404076553
51.758,-0.006012553
51.27,-0.297926553
50.781,-0.404076553
50.293,0.153213447
49.805,-0.244850553
49.316,-0.191775553
48.828,-0.297926553
48.34,-0.138700553
47.852,-0.059087553
47.363,-0.404076553
46.875,0.126675447
46.387,-0.351001553
45.898,0.047062447
45.41,-0.165237553
44.922,-0.271388553
44.434,-0.138700553
43.945,-0.351001553
43.457,0.206288447
42.969,-0.324463553
42.48,0.232826447
41.992,0.047062447
41.504,0.392051447
41.016,0.020525447
40.527,-0.244850553
40.039,0.259363447
39.551,-0.271388553
39.062,0.365514447
38.574,0.047062447
38.086,0.206288447
37.598,0.073600447
37.109,0.179750447
36.621,0.285901447
36.133,-0.218313553
35.645,0.445126447
35.156,0.285901447
34.668,0.073600447
34.18,0.338976447
33.691,0.020525447
33.203,0.259363447
32.715,-0.324463553
32.227,0.338976447
31.738,-0.165237553
31.25,0.047062447
30.762,-0.191775553
30.273,0.020525447
29.785,0.338976447
29.297,-0.165237553
28.809,0.206288447
28.32,-0.351001553
27.832,-0.059087553
27.344,-0.297926553
26.855,-0.165237553
26.367,-0.271388553
25.879,-0.271388553
25.391,-0.006012553
24.902,-0.351001553
24.414,-0.138700553
23.926,-0.059087553
23.437,-0.297926553
22.949,0.100137447
22.461,-0.377538553
21.973,0.232826447
21.484,-0.191775553
20.996,0.312438447
20.508,-0.059087553
20.02,-0.377538553
19.531,0.285901447
19.043,-0.218313553
18.555,0.312438447
18.066,0.126675447
17.578,0.338976447
17.09,0.153213447
16.602,0.153213447
16.113,0.285901447
15.625,-0.112162553
15.137,0.365514447
14.648,-0.165237553
14.16,0.259363447
13.672,0.100137447
13.184,0.232826447
12.695,0.206288447
12.207,-0.032549553
11.719,0.498201447
11.23,-0.191775553
10.742,0.259363447
10.254,0.392051447
9.766,-0.006012553
9.277,0.285901447
8.789,-0.138700553
8.301,0.312438447
7.812,-0.165237553
7.324,0.206288447
6.836,-0.244850553
6.348,-0.297926553
5.859,0.312438447
5.371,-0.059087553
4.883,-0.006012553
4.395,-0.404076553
3.906,0.047062447
3.418,-0.351001553
2.93,-0.404076553
2.441,-0.085625553
1.953,-0.191775553
1.465,0.126675447
0.977,-0.324463553
0.488,-0.138700553
